DomainName,Error
poppricetrend.com,"(None, '[Errno 2] No such file or directory')"
portal.didordering.com,"(None, '[Errno 11001] getaddrinfo failed')"
portal.tollfreecarrier.com,Connection Timed out
primadonna.hungrytext.com,Connection Timed out
prontopizza.hungrytext.com,Connection Timed out
queensbarber.com,"(None, '[Errno 2] No such file or directory')"
queenspizza.hungrytext.com,Connection Timed out
reginacafepizzeria.hungrytext.com,Connection Timed out
rizwaanali.com,"(None, '[Errno 11001] getaddrinfo failed')"
rizzospizzeria.hungrytext.com,Connection Timed out
roastownc34st.hungrytext.com,Connection Timed out
roccosbrickovenmenu.hungrytext.com,Connection Timed out
romapizzaandpastaastoria.hungrytext.com,Connection Timed out
rs2.tcpaas.com,Connection Timed out
sacsplace.hungrytext.com,Connection Timed out
salspizzaitaliankitchen.hungrytext.com,Connection Timed out
sbccp.telecomcloud.us,Connection Timed out
scrubbing.telecomcloud.us,Connection Timed out
singasfamouspizza.hungrytext.com,Connection Timed out
sip.voyceadmins.com,"(None, '[WinError 10061] No connection could be made because the target machine actively refused it')"
sipdialing.com,"(None, '[Errno 2] No such file or directory')"
sofe.ai,"(None, '[Errno 11001] getaddrinfo failed')"
sofeai.tcpaas.com,"(None, '[Errno 2] No such file or directory')"
sofeai.telecomcloud.us,Connection Timed out
sofeaidev.telecomcloud.us,Connection Timed out
softcloudware.com,"(None, '[Errno 11001] getaddrinfo failed')"
solardominho.hungrytext.com,Connection Timed out
spicehut.hungrytext.com,Connection Timed out
sriannapoornabhavan.hungrytext.com,Connection Timed out
summitpizza.hungrytext.com,Connection Timed out
support.telecomcloud.us,"(None, '[WinError 10061] No connection could be made because the target machine actively refused it')"
supporttollfree.com,"(None, '[Errno 2] No such file or directory')"
sushisamurai.hungrytext.com,"(None, '[Errno 11001] getaddrinfo failed')"
svn.hungrytext.com,Connection Timed out
switch01.telecomcloud.us,Connection Timed out
system.hungrytek.com,Connection Timed out
tasteofitalyofastoria.hungrytext.com,Connection Timed out
tcpaas.com,"(None, '[Errno 11001] getaddrinfo failed')"
telecomcarrier.com,"(None, '[Errno 2] No such file or directory')"
telecomcarrier.net,"(None, '[Errno 2] No such file or directory')"
telecommunicationscloud.com,"(None, '[Errno 2] No such file or directory')"
terminationwholesale.com,"(None, '[Errno 2] No such file or directory')"
texteat.com,"(None, '[Errno 2] No such file or directory')"
texteating.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
the3luigisinc.hungrytext.com,Connection Timed out
thenewpizzaprofessor.hungrytext.com,Connection Timed out
theoasiscafelounge.hungrytext.com,Connection Timed out
thestagecoachtavern.hungrytext.com,Connection Timed out
